domain,actual_layer,kv_head,mpc,redundant_fraction
ppl03L_technical,11,2,0.482428,0.996212
ppl03L_technical,11,3,0.306394,0.996212
ppl03L_technical,11,4,0.318631,0.996212
ppl03L_technical,11,5,0.294350,0.996212
ppl03L_technical,11,6,0.322398,0.996212
ppl03L_technical,11,7,0.692519,0.996212
ppl03L_technical,12,0,0.403858,0.996212
ppl03L_technical,12,1,0.708232,0.996212
ppl03L_technical,12,2,0.333770,0.996212
ppl03L_technical,12,3,0.696871,0.996212
ppl03L_technical,12,4,0.346866,0.996212
ppl03L_technical,12,5,0.334491,0.996212
ppl03L_technical,12,6,0.370383,0.996212
ppl03L_technical,12,7,0.597545,0.996212
ppl03L_technical,13,0,0.482088,0.996212
ppl03L_technical,13,1,0.362273,0.996212
ppl03L_technical,13,2,0.698060,0.996212
ppl03L_technical,13,3,0.396422,0.996212
ppl03L_technical,13,4,0.668188,0.996212
ppl03L_technical,13,5,0.530293,0.996212
ppl03L_technical,13,6,0.760977,0.996212
ppl03L_technical,13,7,0.412345,0.996212
ppl03L_technical,14,0,0.470835,0.996212
ppl03L_technical,14,1,0.305745,0.996212
ppl03L_technical,14,2,0.640594,0.996212
ppl03L_technical,14,3,0.530766,0.996212
ppl03L_technical,14,4,0.722261,0.996212
ppl03L_technical,14,5,0.634222,0.996212
ppl03L_technical,14,6,0.560960,0.996212
ppl03L_technical,14,7,0.731929,0.996212
ppl03L_technical,15,0,0.293936,0.996212
ppl03L_technical,15,1,0.460175,0.996212
ppl03L_technical,15,2,0.761957,0.996212
ppl03L_technical,15,3,0.584165,0.996212
ppl03L_technical,15,4,0.481097,0.996212
ppl03L_technical,15,5,0.644539,0.996212
ppl03L_technical,15,6,0.641718,0.996212
ppl03L_technical,15,7,0.753345,0.996212
ppl04L_conversational,0,0,0.599104,0.996212
ppl04L_conversational,0,1,0.559171,0.996212
ppl04L_conversational,0,2,0.297142,0.996212
ppl04L_conversational,0,3,0.516201,0.996212
ppl04L_conversational,0,4,0.368387,0.996212
ppl04L_conversational,0,5,0.295213,0.996212
ppl04L_conversational,0,6,0.570904,0.996212
ppl04L_conversational,0,7,0.256172,0.996212
ppl04L_conversational,1,0,0.607203,1.000000
ppl04L_conversational,1,1,0.522760,1.000000
ppl04L_conversational,1,2,0.412675,1.000000
ppl04L_conversational,1,3,0.444967,1.000000
ppl04L_conversational,1,4,0.399732,1.000000
ppl04L_conversational,1,5,0.444524,1.000000
ppl04L_conversational,1,6,0.451065,0.996212
ppl04L_conversational,1,7,0.309054,1.000000
ppl04L_conversational,2,0,0.310997,0.996212
ppl04L_conversational,2,1,0.737049,0.996212
ppl04L_conversational,2,2,0.587689,0.996212
ppl04L_conversational,2,3,0.593120,0.996212
ppl04L_conversational,2,4,0.302263,0.996212
ppl04L_conversational,2,5,0.590086,0.996212
ppl04L_conversational,2,6,0.464970,0.996212
ppl04L_conversational,2,7,0.434670,0.996212
ppl04L_conversational,3,0,0.576069,0.996212
ppl04L_conversational,3,1,0.352155,0.996212
ppl04L_conversational,3,2,0.470625,0.996212
ppl04L_conversational,3,3,0.386793,0.996212
